latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
68.16745,55.3573,338.04,0.45,0.47,2025-07-04,30,N,VIIRS,n,2.0NRT,286.88,2.68,D
69.26612,57.28924,331.72,0.43,0.46,2025-07-04,30,N,VIIRS,n,2.0NRT,280.46,1.22,D
69.26923,57.29756,279.25,0.43,0.46,2025-07-04,30,N,VIIRS,l,2.0NRT,279.64,1.22,D
69.27195,57.28949,278.94,0.43,0.46,2025-07-04,30,N,VIIRS,l,2.0NRT,279.47,1.22,D
44.73769,37.80998,318.4,0.52,0.67,2025-07-04,35,N,VIIRS,n,2.0NRT,287.65,2.75,N
44.84174,37.67778,299.93,0.51,0.66,2025-07-04,35,N,VIIRS,n,2.0NRT,283.92,0.7,N
44.88366,38.11769,296.12,0.53,0.67,2025-07-04,35,N,VIIRS,n,2.0NRT,283.19,0.78,N
46.31701,31.87193,317.29,0.51,0.5,2025-07-04,35,N,VIIRS,n,2.0NRT,288.45,1.77,N
46.32299,31.86784,300.82,0.51,0.5,2025-07-04,35,N,VIIRS,n,2.0NRT,288.76,0.76,N
46.32462,31.86145,311.14,0.51,0.5,2025-07-04,35,N,VIIRS,n,2.0NRT,288.09,1.84,N
46.32896,31.86377,314.4,0.51,0.5,2025-07-04,35,N,VIIRS,n,2.0NRT,289.08,1.84,N
46.55554,33.11469,304.88,0.57,0.52,2025-07-04,35,N,VIIRS,n,2.0NRT,286.94,1.39,N
46.61533,32.69159,309.2,0.55,0.51,2025-07-04,35,N,VIIRS,n,2.0NRT,286.27,1.15,N
46.61665,32.6908,314.83,0.55,0.51,2025-07-04,35,N,VIIRS,n,2.0NRT,286.49,2.56,N
46.61978,32.69408,298.51,0.55,0.51,2025-07-04,35,N,VIIRS,n,2.0NRT,286.46,1.15,N
46.89716,26.0309,298.45,0.45,0.39,2025-07-04,35,N,VIIRS,n,2.0NRT,287.74,0.75,N
47.1296,31.85295,310.55,0.49,0.48,2025-07-04,35,N,VIIRS,n,2.0NRT,286.85,0.82,N
47.28382,35.22227,296.05,0.34,0.56,2025-07-04,35,N,VIIRS,n,2.0NRT,285.27,0.27,N
47.40329,35.72794,299.74,0.35,0.57,2025-07-04,35,N,VIIRS,n,2.0NRT,284.24,0.46,N
47.78576,29.01588,305.08,0.54,0.42,2025-07-04,35,N,VIIRS,n,2.0NRT,290.22,1.3,N
47.79063,28.95632,304.27,0.54,0.42,2025-07-04,35,N,VIIRS,n,2.0NRT,290.63,1.79,N
47.86127,33.44907,305.24,0.55,0.51,2025-07-04,35,N,VIIRS,n,2.0NRT,287.9,1.63,N
47.86319,35.14512,304.01,0.32,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,289.49,1.96,N
47.86917,35.16335,338.59,0.32,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,290.31,2.65,N
47.87032,35.15927,309.27,0.32,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,289.2,2.65,N
47.87253,35.16725,303.06,0.32,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,288.76,1.14,N
47.87275,35.1704,307.66,0.32,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,288.59,1.5,N
47.87481,33.41706,306.06,0.54,0.51,2025-07-04,35,N,VIIRS,n,2.0NRT,290.19,1.25,N
47.87484,35.15918,306.29,0.32,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,287.52,1.88,N
47.876,35.15514,327.31,0.32,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,288.01,2.55,N
47.87616,35.15825,339.04,0.32,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,288.53,3.42,N
47.87663,33.41012,299.26,0.54,0.51,2025-07-04,35,N,VIIRS,n,2.0NRT,289.01,1.25,N
47.87729,35.18954,298.59,0.32,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,286.57,0.7,N
47.87875,35.18869,304.52,0.32,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,287.36,0.71,N
47.88028,33.39628,304.83,0.54,0.51,2025-07-04,35,N,VIIRS,n,2.0NRT,289.22,2.57,N
48.4736,34.63377,300.24,0.59,0.53,2025-07-04,35,N,VIIRS,n,2.0NRT,288.64,1.3,N
48.52236,34.63086,305.88,0.59,0.53,2025-07-04,35,N,VIIRS,n,2.0NRT,287.91,2.09,N
48.53389,34.64697,331.42,0.59,0.53,2025-07-04,35,N,VIIRS,n,2.0NRT,288.53,5.86,N
48.59236,20.84298,308.75,0.39,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,295.11,1.03,N
48.60292,21.17789,316.18,0.39,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,291.71,3.86,N
48.60622,21.17899,334.68,0.39,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,294.31,3.86,N
48.60763,21.18082,333.56,0.39,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,295.78,3.77,N
48.6117,21.17667,304.64,0.39,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,292.65,3.77,N
48.61195,21.19877,309.17,0.39,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,294.24,1.14,N
48.61272,21.19352,308.34,0.39,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,294.49,1.12,N
48.61678,21.18937,312.87,0.39,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,293.95,1.12,N
48.74824,26.60592,309.74,0.44,0.38,2025-07-04,35,N,VIIRS,n,2.0NRT,292.51,1.47,N
48.97449,24.71194,317.81,0.4,0.37,2025-07-04,35,N,VIIRS,n,2.0NRT,291.42,2.16,N
49.06034,8.32762,299.91,0.39,0.59,2025-07-04,35,N,VIIRS,n,2.0NRT,289.12,0.69,N
49.35493,6.74622,299.52,0.46,0.64,2025-07-04,35,N,VIIRS,n,2.0NRT,286.01,1.05,N
49.35737,6.74611,317.19,0.46,0.64,2025-07-04,35,N,VIIRS,n,2.0NRT,288.54,2.74,N
49.52771,23.62477,310.66,0.39,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,291.66,1.72,N
49.52857,23.61953,322.32,0.39,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,291.39,1.72,N
49.53097,23.62603,312.48,0.39,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,292.57,1.72,N
49.53183,23.62079,317.85,0.39,0.36,2025-07-04,35,N,VIIRS,n,2.0NRT,293.11,1.72,N
49.89504,15.64188,297.95,0.57,0.43,2025-07-04,35,N,VIIRS,n,2.0NRT,286.12,1.64,N
49.95787,9.76788,300.54,0.34,0.56,2025-07-04,35,N,VIIRS,n,2.0NRT,285.56,1.05,N
50.14792,39.681,297.25,0.42,0.61,2025-07-04,35,N,VIIRS,n,2.0NRT,285.41,1.64,N
50.54556,26.26117,316.81,0.41,0.37,2025-07-04,35,N,VIIRS,n,2.0NRT,292.9,2.11,N
50.62652,2.46392,322.35,0.71,0.75,2025-07-04,35,N,VIIRS,n,2.0NRT,281.74,3.47,N
50.62871,2.4566,296.56,0.71,0.75,2025-07-04,35,N,VIIRS,n,2.0NRT,280.63,1.37,N
50.629,2.46712,306.66,0.71,0.75,2025-07-04,35,N,VIIRS,n,2.0NRT,281.05,1.37,N
50.76722,5.67114,300.08,0.52,0.67,2025-07-04,35,N,VIIRS,n,2.0NRT,284.28,1.34,N
50.91189,44.53272,297.69,0.6,0.7,2025-07-04,35,N,VIIRS,n,2.0NRT,282.52,0.85,N
50.92996,5.51233,297.45,0.53,0.67,2025-07-04,35,N,VIIRS,n,2.0NRT,283.86,0.76,N
51.03064,2.26561,306.14,0.73,0.76,2025-07-04,35,N,VIIRS,n,2.0NRT,282.67,4.04,N
51.03807,2.27612,300.61,0.73,0.76,2025-07-04,35,N,VIIRS,n,2.0NRT,282.71,3.14,N
51.12128,37.99687,297.29,0.33,0.56,2025-07-04,35,N,VIIRS,n,2.0NRT,286.2,0.32,N
51.12246,37.99889,296.54,0.33,0.56,2025-07-04,35,N,VIIRS,n,2.0NRT,285.73,0.52,N
51.13471,37.93176,297.1,0.33,0.55,2025-07-04,35,N,VIIRS,n,2.0NRT,284.99,2.34,N
